date,coral_id,bouyantweight_g,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,density_aragonite,wound,fish
final,100,9.7478,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,Fish
initial,101,16.5374,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,101,16.865,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,Fish
initial,102,11.8562,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish
final,102,12.0913,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,No Wound,Fish
initial,103,14.0331,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,103,14.3716,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,No Fish
initial,104,13.1439,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,104,13.3936,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,No Fish
initial,105,16.2373,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,105,16.5862,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,No Fish
initial,106,15.1493,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,106,15.4818,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
initial,107,11.1064,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,107,11.3547,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,Fish
initial,108,13.6023,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish
final,108,13.7524,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,Fish
initial,109,12.2296,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,109,12.4509,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,Fish
initial,110,19.6353,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,110,19.9778,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Large,Fish
initial,111,12.4017,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,111,12.5732,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,No Fish
initial,112,22.4898,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
final,112,22.906,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,No Fish
initial,113,17.9351,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,113,18.3685,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,Fish
initial,114,7.8947,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,114,8.1317,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
initial,115,24.2549,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,115,24.744,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,No Fish
